id,name,meal_type,calories,protein,carbs,fat,ingredients,diet_tags,allergen_tags,budget_level,cooking_time,cuisine,difficulty
meal_001,Nasi Telur Kecap,breakfast,430,18,58,13,"rice, egg, sweet soy sauce, cucumber","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg",low,10,indonesian,easy
meal_002,Nasi Telur Dadar,breakfast,460,20,60,15,"rice, egg, scallion, garlic","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,12,indonesian,easy
meal_003,Nasi Uduk Telur Rebus,breakfast,560,19,72,22,"rice, coconut milk, egg, cucumber","halal, vegetarian, balanced, high_protein, budget_friendly","egg, milk, coconut",low,25,indonesian,easy
meal_004,Nasi Kuning Telur,breakfast,540,20,70,20,"rice, coconut milk, turmeric, egg, cucumber","halal, vegetarian, balanced, high_protein, budget_friendly","egg, milk, coconut",low,25,indonesian,easy
meal_005,Bubur Ayam Sederhana,breakfast,420,26,55,8,"rice, chicken, ginger, scallion","halal, balanced, high_protein",,medium,30,indonesian,easy
meal_006,Bubur Telur Kampung,breakfast,390,18,56,9,"rice, egg, scallion, chicken broth","halal, balanced, high_protein, budget_friendly",egg,low,25,indonesian,easy
meal_007,Lontong Sayur Telur,breakfast,590,20,78,22,"rice cake, coconut milk, egg, chayote","halal, vegetarian, balanced, high_protein","egg, milk, coconut",medium,30,indonesian,easy
meal_008,Mie Telur Sayur,breakfast,520,22,72,16,"noodles, egg, cabbage, carrot, soy sauce","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly","soy, egg, gluten",low,15,indonesian,easy
meal_009,Mie Kuah Telur Bayam,breakfast,500,21,68,15,"noodles, egg, spinach, garlic","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly","egg, gluten",low,15,indonesian,easy
meal_010,Omelet Sayur Nasi,breakfast,480,23,55,18,"rice, egg, spinach, carrot, onion","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly",egg,low,15,indonesian,easy
meal_011,Roti Telur Kecap,breakfast,420,17,48,16,"bread, egg, sweet soy sauce, cucumber","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg, gluten",low,10,western,easy
meal_012,Roti Bakar Pisang,breakfast,380,10,60,10,"bread, banana, margarine","halal, vegetarian, vegan, balanced, budget_friendly",gluten,low,8,western,easy
meal_013,Oat Pisang Susu,breakfast,350,11,63,7,"oats, banana, milk","halal, vegetarian, balanced, budget_friendly",milk,low,10,western,easy
meal_014,Smoothie Pisang Oat,breakfast,330,10,60,6,"banana, oats, milk","halal, vegetarian, balanced, budget_friendly",milk,low,5,global,easy
meal_015,Ubi Rebus Telur,breakfast,390,16,56,10,"sweet potato, egg","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,20,indonesian,easy
meal_016,Singkong Rebus Kelapa,breakfast,360,5,78,4,"cassava, coconut","halal, vegetarian, vegan, balanced, budget_friendly",coconut,low,25,indonesian,easy
meal_017,Jagung Rebus Telur,breakfast,380,15,55,10,"corn, egg","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly",egg,low,15,indonesian,easy
meal_018,Nasi Tempe Kecap,breakfast,480,22,64,15,"rice, tempeh, sweet soy sauce, cucumber","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,15,indonesian,easy
meal_019,Nasi Tahu Telur,breakfast,500,26,58,18,"rice, tofu, egg, scallion","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg",low,15,indonesian,easy
meal_020,Tahu Orak Arik Sayur,breakfast,340,22,26,16,"tofu, egg, carrot, cabbage, soy sauce","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly","soy, egg",low,15,indonesian,easy
meal_021,Tempe Orek Sarapan,breakfast,420,24,50,14,"rice, tempeh, sweet soy sauce, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,18,indonesian,easy
meal_022,Nasi Goreng Telur Kampung,breakfast,560,21,74,19,"rice, egg, garlic, sweet soy sauce, scallion","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg",low,15,indonesian,easy
meal_023,Nasi Goreng Teri,breakfast,570,24,76,18,"rice, anchovy, egg, garlic, chili","halal, vegetarian, balanced, high_protein","egg, fish",medium,18,indonesian,easy
meal_024,Bubur Kacang Hijau,breakfast,360,13,64,7,"mung beans, coconut milk, palm sugar","halal, vegetarian, balanced, high_fiber, budget_friendly","milk, coconut",low,35,indonesian,easy
meal_025,Bubur Ketan Hitam,breakfast,390,8,76,7,"black glutinous rice, coconut milk, palm sugar","halal, vegetarian, balanced, budget_friendly","milk, coconut",low,35,indonesian,easy
meal_026,Pisang Kukus Oat,breakfast,300,8,58,4,"banana, oats, coconut","halal, vegetarian, vegan, balanced, budget_friendly",coconut,low,15,indonesian,easy
meal_027,Telur Rebus Nasi Hangat,breakfast,420,18,58,12,"rice, egg, cucumber","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,12,indonesian,easy
meal_028,Telur Ceplok Sambal Nasi,breakfast,470,18,60,17,"rice, egg, chili, tomato","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,12,indonesian,easy
meal_029,Nasi Bayam Telur,breakfast,450,20,58,14,"rice, egg, spinach, garlic","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly",egg,low,15,indonesian,easy
meal_030,Nasi Jagung Telur,breakfast,430,17,62,11,"corn rice, egg, cucumber","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly",egg,low,15,indonesian,easy
meal_031,Bubur Tahu Ayam,breakfast,430,29,52,10,"rice, tofu, chicken, scallion","halal, balanced, high_protein",soy,medium,30,indonesian,easy
meal_032,Mie Goreng Sayur Telur,breakfast,590,23,78,20,"noodles, egg, cabbage, carrot, soy sauce","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly","soy, egg, gluten",low,18,indonesian,easy
meal_033,Kwetiau Telur Sayur,breakfast,610,24,84,18,"flat rice noodles, egg, cabbage, carrot, soy sauce","halal, vegetarian, balanced, high_protein, high_fiber","soy, egg, gluten",medium,20,chinese_indonesian,easy
